Day,Hour,Average_Wait_Time_Minutes,Utilization_Rate,Students_Present,Equipment_Availability,
Monday,6.00,0.83,0.549734545,66.00,0.474685264,
Monday,7.00,4.842799496,0.815143654,57.00,0.328554369,
Monday,8.00,8.531872517,0.56332596,81.00,0.345264552,
Monday,9.00,8.982779252,0.5861098,84.00,0.328282436,
Monday,10.00,7.411860165,0.668678609,77.00,0.56930932,
Monday,11.00,4.474737152,0.599073203,49.00,0.608791452,
Monday,12.00,9.492238665,0.78622485,131.00,0.08,
Monday,13.00,11.71986256,0.76382451,115.00,0.01,
Monday,14.00,0.000,0.380012277,75.00,0.541318216,
Monday,15.00,3.005691832,0.518822271,50.00,0.564181366,
Monday,16.00,1.389266964,0.277233051,57.00,0.578690293,
Monday,17.00,15.6771781,0.918816951,162.00,0.100645608,
Monday,18.00,16.95747201,1.000,110.00,0.028060589,
Monday,19.00,18.48742445,0.840193726,129.00,0.133465798,
Monday,20.00,4.781412783,0.625,83.00,0.603469633,
Monday,21.00,1.454582572,0.529486267,67.00,0.483686727,
Monday,22.00,5.834598093,0.530723653,63.00,0.538345397,
Monday,23.00,0.603397711,0.469952407,69.00,0.508442251,
Tuesday,6.00,5.324408098,0.340279695,33.00,0.601986355,
Tuesday,7.00,5.193267924,0.637397041,79.00,0.269701862,
Tuesday,8.00,8.510474749,0.581113102,114.00,0.390365409,
Tuesday,9.00,5.370,0.54140976,80.00,0.289373843,
Tuesday,10.00,7.174226719,0.466444123,79.00,0.486632398,
Tuesday,11.00,3.362070259,0.567786194,58.00,0.601555723,
Tuesday,12.00,9.830864176,0.713652846,124.00,0.131041178,
Tuesday,13.00,13.28410938,0.652211207,128.00,0.279915196,
Tuesday,14.00,2.950748037,0.453414213,65.00,0.456901214,
Tuesday,15.00,3.852,0.289459026,57.00,0.612143477,
Tuesday,16.00,1.529566088,0.500124899,77.00,0.563937043,
Tuesday,17.00,12.25810306,0.886752472,156.00,0.00,
Tuesday,18.00,14.44842797,0.864789193,130.00,0.117410781,
Tuesday,19.00,18.21738194,0.892976761,140.00,0.104987007,
Tuesday,20.00,3.948694596,0.393607607,49.00,0.494997844,
Tuesday,21.00,1.487125581,0.482168658,73.00,0.566173442,
Tuesday,22.00,1.902089808,0.630597011,84.00,0.532299994,
Tuesday,23.00,1.353137188,0.463021495,80.00,0.566638249,
Wednesday,6.00,4.11309741,0.428791988,69.00,0.627227223,
Wednesday,7.00,5.520662437,0.664330773,94.00,0.364186268,
Wednesday,8.00,3.176222248,0.462313134,76.00,0.358397115,
Wednesday,9.00,7.107712332,0.596932544,110.00,0.342841201,
Wednesday,10.00,3.040631996,0.430603613,64.00,0.585223704,
Wednesday,11.00,4.331306876,0.360,84.00,0.495248677,
Wednesday,12.00,12.15845403,0.822560343,104.00,0.146243971,
Wednesday,13.00,10.51837245,0.857290724,124.00,0.223596468,
Wednesday,14.00,3.614768437,0.388877466,57.00,0.556998905,
Wednesday,15.00,3.186921659,0.595958927,82.00,0.53,
Wednesday,16.00,1.902715744,0.19429454,55.00,0.501097115,
Wednesday,17.00,14.29035108,0.959158424,131.00,0.08,
Wednesday,18.00,15.39916422,0.907388223,131.00,0.00,
Wednesday,19.00,14.46141302,0.908914928,124.00,0.07,
Wednesday,20.00,4.406620236,0.390189467,93.00,0.584414847,
Wednesday,21.00,2.987385498,0.42933377,61.00,0.504234647,
