Student_ID,Age,Gender,Faculty,Gym_Membership,Weekly_Visits,Preferred_Time,Session_Duration_Minutes,Satisfaction_Score,Wait_Time_Acceptable_Minutes,Crowding_Main_Concern
1001,20,Female,Engineering,Yes,0,3-6PM,51,7.1,5,Yes
1002,25,Male,Engineering,Yes,0,9-12PM,66,6.7,13,No
1003,22,Male,Basic Sciences,Yes,4,6-9PM,50,5.7,6,No
1004,21,Male,Engineering,Yes,1,3-6PM,76,6.5,11,Yes
1005,19,Male,Life Sciences,Yes,3,9-12PM,61,7.1,2,Yes
1006,19,Female,Architecture,Yes,2,9-11PM,38,5.6,9,Yes
1007,18,Female,Basic Sciences,No,0,3-6PM,106,4.6,0,No
1008,24,Male,Engineering,Yes,5,6-9AM,63,9.5,7,No
1009,21,Male,Management,No,1,3-6PM,43,5.9,10,No
1010,22,Other,Basic Sciences,No,3,9-12PM,71,6.7,6,Yes
1011,18,Male,Life Sciences,Yes,0,6-9PM,77,8.3,4,Yes
1012,25,Male,Engineering,Yes,3,6-9PM,31,10,11,Yes
1013,23,Male,Basic Sciences,Yes,0,9-11PM,83,4.9,8,Yes
1014,19,Female,Engineering,No,2,3-6PM,49,7.5,6,Yes
1015,19,Female,Basic Sciences,Yes,3,3-6PM,118,5.7,8,Yes
1016,19,Male,Management,Yes,4,6-9PM,88,6,19,Yes
1017,19,Male,Basic Sciences,Yes,4,9-12PM,65,5.7,13,Yes
1018,21,Female,Engineering,No,3,3-6PM,56,5.1,13,Yes
1019,20,Female,Engineering,No,4,3-6PM,72,6.7,10,Yes
1020,19,Male,Basic Sciences,Yes,1,6-9AM,90,4.6,9,Yes
1021,21,Female,Engineering,Yes,1,12-3PM,74,8.2,0,Yes
1022,18,Male,Engineering,Yes,1,6-9PM,70,6.9,5,Yes
1023,19,Male,Life Sciences,Yes,2,6-9PM,76,7.4,6,Yes
1024,20,Female,Basic Sciences,No,2,6-9AM,60,6.1,1,Yes
1025,20,Male,Engineering,Yes,2,6-9AM,66,6.2,3,No
1026,23,Female,Computer & Communication Sciences,Yes,0,9-12PM,30,7.2,0,Yes
1027,19,Male,Engineering,Yes,3,6-9PM,99,5.1,8,Yes
1028,21,Male,Management,No,0,9-12PM,82,6.3,11,Yes
1029,21,Other,Engineering,No,1,6-9PM,56,5.5,12,No
1030,18,Male,Computer & Communication Sciences,Yes,2,6-9AM,122,5.5,10,Yes
1031,21,Female,Architecture,No,3,3-6PM,77,3.6,4,Yes
1032,19,Male,Computer & Communication Sciences,Yes,3,12-3PM,49,8.8,0,Yes
1033,18,Male,Management,Yes,2,6-9PM,96,5.8,1,Yes
1034,25,Male,Engineering,Yes,0,9-12PM,85,8.5,3,Yes
1035,25,Female,Management,Yes,2,3-6PM,85,8.4,4,Yes
1036,23,Male,Basic Sciences,Yes,0,9-12PM,64,4.9,7,No
1037,19,Female,Basic Sciences,No,2,6-9PM,86,5.2,4,No
1038,18,Male,Engineering,Yes,2,6-9PM,68,10,9,Yes
1039,22,Female,Basic Sciences,Yes,0,9-12PM,89,9.4,7,Yes
1040,20,Male,Engineering,Yes,1,6-9PM,30,6.8,8,Yes
1041,18,Female,Architecture,Yes,5,3-6PM,64,7.2,13,No
1042,21,Female,Basic Sciences,No,5,9-12PM,118,5.9,3,Yes
1043,18,Female,Life Sciences,Yes,2,12-3PM,56,7.4,10,No
1044,24,Female,Computer & Communication Sciences,Yes,0,9-12PM,60,5.7,8,Yes
1045,19,Female,Basic Sciences,No,0,6-9PM,64,3.8,7,Yes
1046,22,Female,Engineering,Yes,2,6-9PM,45,4.8,12,No
1047,19,Male,Engineering,Yes,5,6-9AM,30,6.8,12,Yes
1048,21,Male,Engineering,Yes,0,3-6PM,69,5.1,4,Yes
1049,21,Female,Engineering,Yes,3,6-9PM,78,6.7,7,Yes
1050,19,Female,Engineering,No,0,9-11PM,74,5.2,9,Yes
1051,25,Female,Engineering,No,6,3-6PM,71,5.6,7,Yes
1052,23,Male,Management,Yes,2,9-11PM,76,8.1,10,Yes
1053,25,Male,Architecture,No,3,3-6PM,101,7.2,9,Yes
